,Name,Symbol,Exchange,Sector,Industry,Last,Chg. %,Market Cap,Vol.,P/E Ratio,MACD (12,26 / 1D),Revenue,Average Vol. (3m),EPS,Beta,Dividend,Yield,15 Minutes,Hourly,Daily,Weekly,Monthly,Daily,1 Week,1 Month,YTD,1 Year,3 Years,1-Year Change,Dividend Yield (%),P/E Ratio (TTM),Price to Sales (TTM),Price to Cash Flow (MRQ),Price to Free Cash Flow (TTM),Price to Book (MRQ),Price to Tangible Book (MRQ),EPS(MRQ) vs Qtr. 1 Yr. Ago,EPS(TTM) vs TTM 1 Yr. Ago,5 Year EPS Growth,Sales (MRQ) vs Qtr. 1 Yr. Ago,Sales (TTM) vs TTM 1 Yr. Ago (TTM),5 Year Sales Growth,5 Year Capital Spending Growth,Asset Turnover (TTM),Inventory Turnover (TTM),Revenue/Employee (TTM),Net Income/Employee (TTM),Receivable Turnover (TTM),52 wk Range - High,52 wk Range - Low,% Change from 52 wk High,% Change from 52 wk Low,Previous Month % Change,Gross margin (TTM),Gross Margin (5YA),Operating margin (TTM),Operating margin (5YA),Pretax margin (TTM),Pretax margin (5YA),Net Profit margin (TTM),Net Profit margin (5YA),Quick Ratio (MRQ),Current Ratio (MRQ),LT Debt to Equity (MRQ),Total Debt to Equity,Dividend Yield 5 Year Avg. (5YA),Dividend Growth Rate (ANN),Payout Ratio (TTM),ADX (14 / 1D),ATR (14 / 1D),Bull/Bear Power (13 / 1D),CCI (14 / 1D),Highs/Lows (14 / 1D),ROC (1D),RSI (14 / 1D),STOCH (14 / 1D),STOCHRSI (14 / 1D),Ultimate Oscillator (14 /1D),Williams %R (1D),var columnsSettings_stock_screener = new ColumnsSettings(		'ltr',																	   // strHtmlDir		'resultsContainer',															 	   // containerId		'resultsContainer',															   	   // tab		'stock_screener',																		   // id		'Currently selected: X (max 8)', // message		'8',															   // intMaxCheckboxes		'1'                                                          // intMinOptCheckboxes	);Adjust table  Name  Symbol  Exchange  Sector  Industry  Last  Chg. %  Market Cap  Vol.  P/E Ratio  MACD (12,26 / 1D)   Revenue  Average Vol. (3m)  EPS  Beta  Dividend  Yield  15 Minutes   Hourly  Daily  Weekly  Monthly  Daily  1 Week  1 Month  YTD  1 Year  3 Years  1-Year Change  Dividend Yield (%)   P/E Ratio (TTM)  Price to Sales (TTM)  Price to Cash Flow (MRQ)  Price to Free Cash Flow (TTM)  Price to Book (MRQ)  Price to Tangible Book (MRQ)   EPS(MRQ) vs Qtr. 1 Yr. Ago  EPS(TTM) vs TTM 1 Yr. Ago  5 Year EPS Growth  Sales (MRQ) vs Qtr. 1 Yr. Ago  Sales (TTM) vs TTM 1 Yr. Ago (TTM)  5 Year Sales Growth  5 Year Capital Spending Growth  Asset Turnover (TTM)  Inventory Turnover (TTM)  Revenue/Employee (TTM)  Net Income/Employee (TTM)  Receivable Turnover (TTM)  52 wk Range - High  52 wk Range - Low  % Change from 52 wk High  % Change from 52 wk Low  Previous Month % Change  Gross margin (TTM)  Gross Margin (5YA)  Operating margin (TTM)  Operating margin (5YA)  Pretax margin (TTM)  Pretax margin (5YA)  Net Profit margin (TTM)  Net Profit margin (5YA)  Quick Ratio (MRQ)  Current Ratio (MRQ)  LT Debt to Equity (MRQ)  Total Debt to Equity  Dividend Yield 5 Year Avg. (5YA)  Dividend Growth Rate (ANN)  Payout Ratio (TTM)  ADX (14 / 1D)  ATR (14 / 1D)  Bull/Bear Power (13 / 1D)  CCI (14 / 1D)  Highs/Lows (14 / 1D)  ROC (1D)  RSI (14 / 1D)  STOCH (14 / 1D)  STOCHRSI (14 / 1D)  Ultimate Oscillator (14 /1D)  Williams %R (1D) Currently selected: 6 (max 8 ) Apply 	$('#colSelectPopup_stock_screener').click(function(e) {		e.stopPropagation();	});
"","An Phat Plastic and Green","AAA","Ho Chi Minh","Basic Materials","Containers & Packaging","17300","-0.58%","3.84T","8.40M","11.11","371.20","8.14T","7.79M","1.48K","0.85","-","-","Neutral","Strong Sell","Strong Sell","Strong Buy","Strong Buy","-0.58","-11.28","11.97","20.14","40.08","-5.21","39.52","5.79%","11.11","0.49","15.69","10.79","1.01","1.04","106.46","-36.33","22.69","14.42","-19.76","35.70","-1.34","0.90","6.14","2.42","92.18","11.36","21000","10700","-17.62","61.68","27.87%","10.46","10.84","4.19","5.29","4.29","5.39","3.81","4.51","0.94","1.19","17.15","98.97","5.98","-13.42","0.00","33.14","1.14K","-2.59K","-243.56","-1.36K","-10.44","44.19","76.67","0.00","39.30","-35.00",""
"","Mekong Fisheries JSC","AAM","Ho Chi Minh","Consumer Staples","Food Products","10900","0%","113.92B","600.00","-","74.10","109.69B","5.66K","-1.58K","0.23","-","-","Buy","Sell","Neutral","Neutral","Neutral","0.00","1.87","-6.03","-2.68","-5.22","2.35","-0.91","8.93%","99.22","0.97","44.80","50.73","0.55","0.62","-266.32","-441.66","2.73","-27.20","-48.41","-19.14","9.75","0.52","0.98","333.40","-41.75","10.06","12300","9600","-11.38","13.54","5.94%","-3.84","7.97","-14.02","0.91","-12.63","1.26","-12.52","0.82","4.17","15.63","0.00","2.11","4.96","37.51","415.53","43.02","471.43","-733.02","-116.67","0.00","-2.68","50.86","63.91","35.09","64.04","-39.97",""
"","Viet Tien Son Real Estate","AAV","Hanoi","Capital Goods","Construction Services","15200","-3.8%","484.50B","320.90K","35.80","3.50","420.89B","416.21K","441.36","-","-","-","Neutral","Strong Sell","Sell","Buy","Strong Buy","-3.80","-3.80","-6.17","1.33","171.43","4.67","172.41","18.87%","35.80","1.53","17.69","23.80","1.35","1.48","19.20","-46.10","-18.90","5.92","-40.22","29.94","-","0.55","15.70","-","-","6.82","19000","4100","-20.00","270.73","0.64%","9.78","12.17","5.85","8.83","5.81","8.69","4.72","6.84","2.09","2.20","1.76","36.38","-","-","0.00","25.15","578.57","-837.52","-165.41","-321.43","0.00","41.92","85.49","0.00","47.56","-23.53",""
"","VMG Media","ABC","Hanoi","Technology","Computer Services","12300","0%","250.78B","11.40K","-","-362.62","2.72T","25.55K","-8.95K","1.00","-","-","-","-","Strong Sell","Strong Sell","Sell","0.00","0.82","-7.52","-33.87","23.00","80.88","16.04","6.62%","10.11","0.09","-","-","0.74","0.77","-11.23","-736.56","-","-63.50","-8.74","-3.85","8.02","3.45","48.36","-","-","13.51","21000","9000","-41.43","36.67","-3.17%","2.42","1.99","-6.29","2.35","-6.37","2.33","-6.68","1.57","1.47","1.51","0.00","42.96","24.99","-62.85","53.38","62.15","364.29","-795.45","-125.66","-357.14","-6.82","33.61","70.99","24.59","47.30","-34.28",""
"","Agriculture Bank Insurance","ABI","Hanoi","Financial","Insurance (Prop. & Casualty)","55700","-2.79%","2.05T","97.60K","6.51","2.68K","1.74T","62.49K","7.91K","0.49","380.00","-","-","-","Neutral","Strong Buy","Strong Buy","-2.79","-6.54","8.79","33.25","74.06","135.02","94.76","0.78%","6.51","1.09","9.28","10.66","1.69","1.78","-2.01","48.82","33.11","10.75","15.66","19.46","0.07","0.61","-","-","-","-","62500","24500","-10.88","127.35","32.74%","-","-","13.01","10.80","20.90","18.76","16.70","15.00","-","-","0.00","0.00","4.15","-30.66","4.80","45.91","3.39K","-4.06K","-115.86","-1.75K","4.50","52.47","85.07","0.00","43.34","-23.19",""
"","Viet Brand Invest","ABR","Hanoi","Services","Business Services","23500","0%","470.00B","0.00","26.00","-177.04","174.96B","3.06K","903.73","-","-","-","-","-","Neutral","Neutral","Neutral","0.00","0.00","1.29","-6.00","-17.25","305.17","-17.25","-","26.00","5.24","22.53","12.41","1.95","2.59","-62.38","-57.49","9.11","-28.09","58.60","31.61","31.06","0.32","24.29","-","-","3.39","41600","15000","-43.51","56.67","2.17%","50.39","36.90","23.86","23.39","24.65","23.44","20.15","18.85","3.90","3.93","0.00","0.00","-","-","0.00","37.53","1.11K","661.69","102.93","471.43","-1.26","51.19","94.97","94.31","83.88","-3.57",""
"","Binhthuan Agriculture Services","ABS","Ho Chi Minh","Consumer/Non-Cyclical","Personal & Household Prods.","22950","-6.9%","1.84T","165.30K","69.94","-4.36K","1.24T","177.82K","929.34","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Buy","-6.90","-24.26","-44.70","12.50","137.09","-","148.49","0.62%","69.94","4.71","-","-","5.59","12.20","77.72","12.35","-","290.89","39.64","-","-","1.20","81.40","-","-","2.03","77000","8400","-70.19","173.21","-31.14%","7.61","-","5.36","-","5.45","-","4.34","-","1.17","1.18","0.00","82.16","-","-","0.00","72.93","1.54K","-12.21K","-240.63","-6.36K","-32.10","20.42","73.99","0.00","24.84","-46.04",""
"","Bentre Aquaproduct Import Export","ABT","Hanoi","Consumer/Non-Cyclical","Food Processing","28200","0.36%","324.22B","600.00","10.43","-348.30","380.26B","4.02K","2.69K","0.09","1.90K","-","Sell","Neutral","Strong Sell","Strong Sell","Strong Sell","0.36","-0.70","-6.00","-8.75","-7.73","-25.79","-6.88","3.56%","10.43","1.06","70.41","89.41","0.78","0.80","2.26K","-11.98","-26.29","-17.52","-8.47","-7.67","33.84","0.60","1.72","483.22","48.21","9.62","34100","24200","-17.30","16.53","-3.4%","12.47","16.18","10.21","12.29","10.66","12.11","9.98","10.93","0.75","2.27","0.00","18.51","9.49","-20.63","37.91","33.37","364.29","-708.45","2.93","0.00","0.71","43.55","99.01","64.89","71.24","-1.62",""
"","ACC-244","AC4","Hanoi","","","4200","0%","-","0.00","-","-","-","100.00","-","-","1.71K","-","-","-","-","-","-","0.00","0.00","0.00","-6.67","-6.67","-6.67","-6.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4200","4200","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",""
"","ACB","ACB","Ho Chi Minh","Financial","Regional Banks","36550","1.94%","79.00T","10.12M","8.78","1.19K","19.66T","11.64M","3.95K","1.08","-","-","Strong Buy","Neutral","Strong Buy","Strong Buy","Strong Buy","1.94","2.38","13.65","62.59","148.50","66.59","147.88","-","8.78","3.54","7.16","9.68","1.97","2.03","60.98","38.02","48.68","5.91","9.07","17.74","10.13","-","-","-","-","-","38200","12862","-4.32","184.17","-13.77%","-","-","50.94","37.39","50.94","37.39","40.79","29.93","-","-","53.74","73.83","0.00","-","0.00","26.69","1.01K","-286.88","33.41","64.29","5.01","59.32","93.59","20.80","51.66","-5.50",""
