RIC,Symbol,Exchange,CompanyName,Sector,Industry,Last
AAA.HM,AAA,HOSE,An Phat Bioplastics JSC,Materials,Chemicals,18.50K
AAM.HM,AAM,HOSE,Mekong Fisheries JSC,Consumer Staples,Food Products,10.80K
AAV.HN,AAV,HNX,Viet Tien Son Real Estate Holding Co,Real Estate,Real Estate Management & Development,16.00K
ABC.HNO,ABC,UPCOM,VMG Media JSC,Technology,Computer Services,13.00K
ABI.HNO,ABI,UPCOM,Agriculture Bank Insurance Joint Stock Corp,Financial,Insurance,59.00K
ABR.HNO,ABR,UPCOM,Viet Brand Invest JSC,Services,Business Services,23.50K
ABS.HM,ABS,HOSE,Binhthuan Agriculture Services JSC,Industrials,Trading Companies & Distributors,30.60K
ABT.HN,ABT,HNX,Bentre Aquaproduct Import and Export JSC,Consumer/Non-Cyclical,Food Processing,28.40K
ACB.HM,ACB,HOSE,Asia Commercial Joint Stock Bank,Financial,Regional Banks,36.35K
ACC.HM,ACC,HOSE,ACC Binh Duong Investment and Construction JSC,Materials,Construction Materials,15.40K
ACE.HNO,ACE,UPCOM,An Giang Centrifugal Concrete JSC,Materials,Construction Materials,36.00K
ACL.HM,ACL,HOSE,Cuulong Fish JSC,Consumer Staples,Food Products,13.10K
ACM.HN,ACM,HNX,A Cuong Mineral Group JSC,Materials,Metals & Mining,3.40K
ACS.HNO,ACS,UPCOM,Architects & Construction Service Corp,Industrials,Construction & Engineering,10.00K
ACV.HNO,ACV,UPCOM,Airports Corp Of Viet Nam,Industrials,Transportation Infrastructure,73.60K
ADC.HN,ADC,HNX,Art Design & Communication JSC,Communication Services,Media,28.00K
ADG.HM,ADG,HOSE,Clever Group Corp,Communication Services,Media,47.70K
ADP.HNO,ADP,UPCOM,A Dong Paint JSC,Materials,Chemicals,28.20K
ADS.HM,ADS,HOSE,Damsan JSC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",25.60K
AFX.HNO,AFX,UPCOM,An Giang Agriculture And Foods Import-export JSC,Consumer Staples,Food Products,13.60K
AG1.HNO,AG1,UPCOM,28.1 JSC,-,-,7.20K
AGF.HNO,AGF,UPCOM,An Giang Fisheries Import & Export JSC,Consumer Staples,Food Products,2.91K
AGG.HM,AGG,HOSE,An Gia Real Estate Investment and Development Corp,Real Estate,Real Estate Management & Development,50.30K
AGM.HM,AGM,HOSE,An Giang Import Export Co,Consumer Staples,Food Products,30.00K
AGP.HNO,AGP,UPCOM,Agimexpharm Pharmaceutical JSC,Healthcare,Biotechnology & Drugs,18.80K
AGR.HM,AGR,HOSE,Agribank Securities Joint-Stock Corp,Financial,Capital Markets,14.20K
AGX.HNO,AGX,UPCOM,Sai Gon Export Foodstuffs And Agricultural Products JSC,Consumer Staples,Food Products,32.00K
ALT.HN,ALT,HNX,Alta Co,Industrials,Industrial Conglomerates,12.90K
ALV.HNO,ALV,UPCOM,Alvico Construction JSC,Materials,Metals & Mining,3.00K
AMC.HN,AMC,HNX,Asia Mineral JSC,Materials,Chemicals,20.30K
AMD.HM,AMD,HOSE,FLC Stone Mining and Investment JSC,Industrials,Industrial Conglomerates,5.34K
AME.HN,AME,HNX,Alphanam E&c JSC,Industrials,Construction & Engineering,8.80K
AMP.HNO,AMP,UPCOM,Armephaco JSC,Healthcare,Health Care Equipment & Supplies,10.20K
AMS.HNO,AMS,UPCOM,AMECC Mechanical Construction JSC,Industrials,Construction & Engineering,11.10K
