Name,Symbol,Sector,Industry,Last
An Phat Plastic and Green,AAA,Materials,Chemicals,18.50K
Mekong Fisheries JSC,AAM,Consumer Staples,Food Products,10.80K
Viet Tien Son Real Estate,AAV,Real Estate,Real Estate Management & Development,16.00K
VMG Media,ABC,Technology,Computer Services,13.00K
Agriculture Bank Insurance,ABI,Financial,Insurance,59.00K
Viet Brand Invest,ABR,Services,Business Services,23.50K
Binhthuan Agriculture Services,ABS,Industrials,Trading Companies & Distributors,30.60K
Bentre Aquaproduct Import Export,ABT,Consumer/Non-Cyclical,Food Processing,28.40K
ACC-244,AC4,-,-,4.20K
ACB,ACB,Financial,Regional Banks,36.35K
Becamex Asphalt and Concrete JSC,ACC,Materials,Construction Materials,15.40K
An Giang Centrifugal Concrete JSC,ACE,Materials,Construction Materials,36.00K
Cuulong Fish JSC,ACL,Consumer Staples,Food Products,13.10K
A Cuong Mineral Group JSC,ACM,Materials,Metals & Mining,3.40K
Architects Construction,ACS,Industrials,Construction & Engineering,10.00K
Airports Corporation of Viet Nam,ACV,Industrials,Transportation Infrastructure,73.60K
ADC,ADC,Communication Services,Media,28.00K
Clever Group,ADG,Communication Services,Media,47.70K
A Dong Paint,ADP,Materials,Chemicals,28.20K
Damsan,ADS,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",25.60K
Binh Duong Agriculture,AFC,-,-,10.00K
An Giang Agriculture and Foods,AFX,Consumer Staples,Food Products,13.60K
28.1 JSC,AG1,-,-,7.20K
Angiang Fisheries Import & Export,AGF,Consumer Staples,Food Products,2.91K
An Gia Real Estate Investment and Development,AGG,Real Estate,Real Estate Management & Development,50.30K
An Giang Import Export Co,AGM,Consumer Staples,Food Products,30.00K
Agimexpharm Pharma,AGP,Healthcare,Biotechnology & Drugs,18.80K
AgriBank Securities JSC,AGR,Financial,Capital Markets,14.20K
Sai Gon Export Foodstuffs,AGX,Consumer Staples,Food Products,32.00K
Tan Binh Culture Co.,ALT,Industrials,Industrial Conglomerates,12.90K
VAM,ALV,Materials,Metals & Mining,3.00K
Asia Mineral,AMC,Materials,Chemicals,20.30K
AMD Group Investment JSC,AMD,Industrials,Industrial Conglomerates,5.34K
Alphanam M&E,AME,Industrials,Construction & Engineering,8.80K
Armephaco,AMP,Healthcare,Health Care Equipment & Supplies,10.20K
AMECC Mechanical,AMS,Industrials,Construction & Engineering,11.10K
Amvibiotech,AMV,Healthcare,Health Care Equipment & Supplies,9.90K
An Giang Fruit-Vegetables,ANT,Consumer Staples,Food Products,10.10K
Nam Viet Corp,ANV,Consumer Staples,Food Products,32.35K
An Phu Irradiation JSC,APC,Industrials,Commercial Services & Supplies,23.10K
Quang Ngai Agricultural,APF,Consumer Staples,Food Products,53.40K
AnPhat Securities,APG,Financial,Capital Markets,10.95K
An Phat Holdings JSC,APH,Materials,Chemicals,59.60K
Apec Investmen,API,Real Estate,Real Estate Management & Development,21.40K
APP,APP,Energy,Oil & Gas Operations,7.50K
Apec Securitie,APS,Financial,Capital Markets,15.50K
